kind,status,p,resident,entrant,entrant_seats,games,entrant_payoff,resident_table_payoff,selfplay_games,resident_selfplay,gap_selfplay,gap_table,initial_fitness_gap_N6,fixation_N6,initial_fitness_gap_N30,fixation_N30,omitted,N,beta,retained_models,mass_Haiku,mass_Flash-Lite,mass_Luna,mass_Qwen,mass_Grok,winner,winner_mass,target_rate,welfare,opt,uniform_target_rate,uniform_welfare_over_opt,stationary_residual,tree_max_error,welfare_over_opt,winner_changed
composition,ok,0.5,Luna,Haiku,3,10,13.966666666666665,17.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Haiku,4,10,17.324999999999999,20.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Haiku,5,10,17.380000000000003,21.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Luna,Haiku,1,10,14.9,16.140000000000001,20,17.524999999999999,-2.6249999999999982,-1.2400000000000002,-1.2400000000000002,3.8495021543808507e-07,-2.3862068965517249,1.175885945399898e-30,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Flash-Lite,1,10,18.899999999999999,19.039999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Flash-Lite,2,10,18.949999999999999,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Flash-Lite,3,10,19,19.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Flash-Lite,4,10,18,18.100000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Flash-Lite,5,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Luna,Flash-Lite,1,10,18.899999999999999,19.039999999999999,20,17.524999999999999,1.375,-0.14000000000000057,-0.14000000000000057,0.13316897107640491,1.1137931034482769,0.54962302825552711,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Qwen,1,10,13.300000000000001,14.059999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Qwen,2,10,10.6,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Qwen,3,10,10.666666666666668,10.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Qwen,4,10,10.9,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Qwen,5,10,10.66,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Luna,Qwen,1,10,13.300000000000001,14.059999999999999,20,17.524999999999999,-4.2249999999999979,-0.75999999999999801,-0.75999999999999801,0.13743747312465818,-3.6275862068965488,8.119274978436962e-14,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Grok,1,10,11.5,16.719999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Grok,2,10,13.800000000000001,21.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Grok,3,10,9.1999999999999993,26.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Grok,4,10,6.7999999999999998,29.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Luna,Grok,5,10,8.4000000000000004,29.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Luna,Grok,1,10,11.5,16.719999999999995,20,17.524999999999999,-6.0249999999999986,-5.2199999999999953,-5.2199999999999953,1.1767106661226247e-32,-5.8862068965517231,1.348037824946927e-180,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Haiku,1,10,11.800000000000001,13.819999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Haiku,2,10,17.5,16.225000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Haiku,3,10,15.5,17.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Haiku,4,10,18.550000000000001,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Haiku,5,10,18.759999999999998,20.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Qwen,Haiku,1,10,11.800000000000001,13.819999999999999,20,10.791666666666668,1.0083333333333329,-2.0199999999999978,-2.0199999999999978,0.025655733908806693,0.48620689655172455,0.51631972357100109,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Flash-Lite,1,10,10,10.580000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Flash-Lite,2,10,10,10.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Flash-Lite,3,10,10,10.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Flash-Lite,4,10,10,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Flash-Lite,5,10,13.959999999999999,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Qwen,Flash-Lite,1,10,10,10.580000000000002,20,10.791666666666668,-0.79166666666666785,-0.58000000000000185,-0.58000000000000185,0.011619405339642477,-0.75517241379310462,8.107649361757039e-06,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Luna,1,10,10.5,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Luna,2,10,10.15,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Luna,3,10,10.433333333333334,10.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Luna,4,10,10.35,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Luna,5,10,14.059999999999999,13.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Qwen,Luna,1,10,10.5,10.66,20,10.791666666666668,-0.29166666666666785,-0.16000000000000014,-0.16000000000000014,0.072954483970662384,-0.26896551724138007,0.001703136422352633,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Grok,1,10,13.4,19.719999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Grok,2,10,10.6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Grok,3,10,10.066666666666666,18.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Grok,4,10,13.35,16.100000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Qwen,Grok,5,10,4.6800000000000006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Qwen,Grok,1,10,13.4,19.719999999999999,20,10.791666666666668,2.6083333333333325,-6.3199999999999985,-6.3199999999999985,1.8600671796143854e-17,1.068965517241379,6.6220965147618472e-93,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Haiku,1,10,24.399999999999999,7.1199999999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Haiku,2,10,21,11.449999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Haiku,3,10,20.93333333333333,13.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Haiku,4,10,19.899999999999999,12.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Haiku,5,10,18.920000000000002,14.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Grok,Haiku,1,10,24.399999999999999,7.1199999999999992,20,5.8833333333333329,18.516666666666666,17.280000000000001,17.280000000000001,0.99999996870879604,18.303448275862067,0.999999988756192,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Flash-Lite,1,10,25,8.2400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Flash-Lite,2,10,23.699999999999999,8.3499999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Flash-Lite,3,10,21.133333333333333,14.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Flash-Lite,4,10,20.75,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Flash-Lite,5,10,20.359999999999999,15.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Grok,Flash-Lite,1,10,25,8.2400000000000002,20,5.8833333333333329,19.116666666666667,16.759999999999998,16.759999999999998,0.99999994737106834,18.710344827586205,0.99999999251485028,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Luna,1,10,29.199999999999999,8.4000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Luna,2,10,29.300000000000001,6.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Luna,3,10,26.800000000000001,9.1999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Luna,4,10,21.199999999999999,13.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Luna,5,10,16.719999999999995,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Grok,Luna,1,10,29.199999999999999,8.4000000000000004,20,5.8833333333333329,23.316666666666666,20.799999999999997,20.799999999999997,0.99999999907386394,22.882758620689657,0.99999999988461641,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Qwen,1,10,19,4.6800000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Qwen,2,10,16.100000000000001,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Qwen,3,10,18.800000000000001,10.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Qwen,4,10,17,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.5,Grok,Qwen,5,10,19.719999999999999,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.5,Grok,Qwen,1,10,19,4.6800000000000006,20,5.8833333333333329,13.116666666666667,14.32,14.32,0.99999935757988079,13.324137931034482,0.99999836543978704,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Flash-Lite,1,10,21.199999999999999,18.999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Flash-Lite,2,10,20.300000000000001,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Flash-Lite,3,10,20.333333333333336,17.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Flash-Lite,4,10,19.850000000000001,18.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Flash-Lite,5,10,19.919999999999998,18.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Haiku,Flash-Lite,1,10,21.199999999999999,18.999999999999996,20,18.850000000000001,2.3499999999999979,2.2000000000000028,2.2000000000000028,0.88435959226787908,2.3241379310344819,0.90017397687420608,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Luna,1,10,21,18.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Luna,2,10,21.199999999999999,18.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Luna,3,10,20.733333333333334,18.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Luna,4,10,11.41,10.050000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Luna,5,10,12.952000000000002,11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Haiku,Luna,1,10,21,18.600000000000001,20,18.850000000000001,2.1499999999999986,2.3999999999999986,2.3999999999999986,0.91270638672430926,2.1931034482758598,0.88947141824612153,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Qwen,1,10,20.800000000000001,18.640000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Qwen,2,10,17.699999999999999,19.100000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Qwen,3,10,18.620000000000005,16.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Qwen,4,10,14.675000000000001,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Qwen,5,10,5.847999999999999,4.7199999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Haiku,Qwen,1,10,20.800000000000001,18.640000000000004,20,18.850000000000001,1.9499999999999993,2.1599999999999966,2.1599999999999966,0.55953349248495698,1.986206896551721,1.1246107268431242e-22,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Grok,1,10,14.800000000000001,18.879999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Grok,2,10,7.7999999999999998,21.550000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Grok,3,10,10.866666666666665,20.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Grok,4,10,13.15,20.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Haiku,Grok,5,10,2.0800000000000001,24.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Haiku,Grok,1,10,14.800000000000001,18.879999999999999,20,18.850000000000001,-4.0500000000000007,-4.0799999999999983,-4.0799999999999983,1.5392480089905298e-25,-4.0551724137931053,5.4494747493965274e-153,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Haiku,1,10,18.800000000000001,19.919999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Haiku,2,10,18.600000000000001,19.850000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Haiku,3,10,17.600000000000001,20.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Haiku,4,10,18.5,20.300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Haiku,5,10,18.999999999999996,21.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Flash-Lite,Haiku,1,10,18.800000000000001,19.919999999999998,20,20,-1.1999999999999993,-1.1199999999999974,-1.1199999999999974,9.8424101120886599e-05,-1.1862068965517238,1.5450220042804352e-22,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Luna,1,10,19.800000000000001,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Luna,2,10,20,19.949999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Luna,3,10,20,19.93333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Luna,4,10,18.205000000000002,18.100000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Luna,5,10,19.919999999999998,19.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Flash-Lite,Luna,1,10,19.800000000000001,20,20,20,-0.19999999999999929,-0.19999999999999929,-0.19999999999999929,0.15831256707584898,-0.19999999999999929,1.1189271198781254e-06,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Qwen,1,10,9.5199999999999996,9.1600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Qwen,2,10,2.1999999999999993,1.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Qwen,3,10,3.7266666666666666,3.8066666666666662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Qwen,4,10,2.1699999999999995,2.0099999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Qwen,5,10,2.1799999999999993,1.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Flash-Lite,Qwen,1,10,9.5199999999999996,9.1600000000000001,20,20,-10.48,0.35999999999999943,0.35999999999999943,0.259376939326661,-8.6110344827586225,4.1376958196579214e-31,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Grok,1,10,17.199999999999999,20.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Grok,2,10,12,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Grok,3,10,7.4000000000000012,23.533333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Grok,4,10,5.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Flash-Lite,Grok,5,10,1.24,29.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Flash-Lite,Grok,1,10,17.199999999999999,20.199999999999999,20,20,-2.8000000000000007,-3,-3,4.685908569431884e-34,-2.8344827586206911,1.4322738980338408e-197,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Haiku,1,10,11.18,12.952000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Haiku,2,10,10.050000000000001,11.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Haiku,3,10,18.066666666666666,20.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Haiku,4,10,18.199999999999999,21.199999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Haiku,5,10,18.600000000000001,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Luna,Haiku,1,10,11.18,12.952000000000002,20,16.414999999999999,-5.2349999999999994,-1.772000000000002,-1.772000000000002,1.2497177882643886e-05,-4.637931034482758,7.2705047243403863e-21,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Flash-Lite,1,10,19.800000000000001,19.919999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Flash-Lite,2,10,18.100000000000001,18.205000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Flash-Lite,3,10,19.93333333333333,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Flash-Lite,4,10,19.949999999999999,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Flash-Lite,5,10,20,19.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Luna,Flash-Lite,1,10,19.800000000000001,19.919999999999998,20,16.414999999999999,3.3850000000000016,-0.11999999999999744,-0.11999999999999744,0.13740114111168017,2.7806896551724165,0.93102086201406686,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Qwen,1,10,7.2599999999999998,7.4719999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Qwen,2,10,3.7799999999999998,3.7049999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Qwen,3,10,2.1533333333333329,2.0266666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Qwen,4,10,3.9999999999999991,3.6600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Qwen,5,10,3.9599999999999995,3.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Luna,Qwen,1,10,7.2599999999999998,7.4719999999999995,20,16.414999999999999,-9.1549999999999994,-0.21199999999999974,-0.21199999999999974,0.17466159777044948,-7.6131034482758615,1.0093206263703739e-24,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Grok,1,10,7.4000000000000004,15.616000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Grok,2,10,11.699999999999999,21.949999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Grok,3,10,5.4666666666666668,28.733333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Grok,4,10,6.2000000000000002,29.399999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Luna,Grok,5,10,5.7999999999999998,30.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Luna,Grok,1,10,7.4000000000000004,15.616000000000003,20,16.414999999999999,-9.0149999999999988,-8.2160000000000029,-8.2160000000000029,1.0705279736401194e-39,-8.8772413793103429,1.5060174239944216e-219,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Haiku,1,10,4.7199999999999998,5.847999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Haiku,2,10,15.5,14.675000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Haiku,3,10,16.399999999999999,18.620000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Haiku,4,10,19.100000000000001,17.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Haiku,5,10,18.640000000000004,20.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Qwen,Haiku,1,10,4.7199999999999998,5.847999999999999,20,2.1466666666666656,2.5733333333333341,-1.1279999999999992,-1.1279999999999992,0.0209912017871394,1.9351724137931043,0.86840094102990606,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Flash-Lite,1,10,1.9999999999999996,2.1799999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Flash-Lite,2,10,2.0099999999999993,2.1699999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Flash-Lite,3,10,3.8066666666666662,3.7266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Flash-Lite,4,10,1.9999999999999996,2.1999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Flash-Lite,5,10,9.1600000000000001,9.5199999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Qwen,Flash-Lite,1,10,1.9999999999999996,2.1799999999999993,20,2.1466666666666656,-0.14666666666666606,-0.17999999999999972,-0.17999999999999972,0.11423781452834353,-0.15241379310344749,0.07088719403299526,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Luna,1,10,3.7999999999999998,3.9599999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Luna,2,10,3.6600000000000001,3.9999999999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Luna,3,10,2.0266666666666664,2.1533333333333329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Luna,4,10,3.7049999999999996,3.7799999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Luna,5,10,7.4719999999999995,7.2599999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Qwen,Luna,1,10,3.7999999999999998,3.9599999999999995,20,2.1466666666666656,1.6533333333333342,-0.1599999999999997,-0.1599999999999997,0.10703797822478066,1.3406896551724148,0.53378359525486263,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Grok,1,10,8.7800000000000011,13.459999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Grok,2,10,6.2000000000000002,18.850000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Grok,3,10,11.666666666666668,20.06666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Grok,4,10,8.1500000000000004,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Qwen,Grok,5,10,3.4799999999999995,18.600000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Qwen,Grok,1,10,8.7800000000000011,13.459999999999999,20,2.1466666666666656,6.6333333333333355,-4.6799999999999979,-4.6799999999999979,1.1668253459461291e-21,4.6827586206896576,1.4174359048902888e-104,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Haiku,1,10,24.399999999999999,2.0800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Haiku,2,10,20.399999999999999,13.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Haiku,3,10,20.600000000000001,10.866666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Haiku,4,10,21.550000000000001,7.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Haiku,5,10,18.879999999999999,14.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entrant,ok,0.90000000000000002,Grok,Haiku,1,10,24.399999999999999,2.0800000000000001,20,2.6166666666666667,21.783333333333331,22.32,22.32,0.99999999979729914,21.875862068965517,0.99999999968418418,,,,,,,,,,,,,,,,,,,,
composition,ok,0.90000000000000002,Grok,Flash-Lite,1,10,29.600000000000001,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
